occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Archaeorhizomyces","Archaeorhizomyces Rosling & T.James","7628767","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",,"Archaeorhizomyces","Rosling & T.James","7628767",
,"Bacillicladium","Bacillicladium Hubka, Réblová & Thureborn","9742414","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bacillicladium",,"Bacillicladium","Hubka, Réblová & Thureborn","9742414",
,"Others (<2%)","Fungi","5","HIGHERRANK","99","ACCEPTED","KINGDOM","Fungi",,,,,,,"Fungi",,"5",
,"Pseudogymnoascus","Pseudogymnoascus","2625562","EXACT","95","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus",,"Pseudogymnoascus",,"2625562",
,"Stereopsis","Stereopsis","9756029","EXACT","95","ACCEPTED","GENUS","Fungi","Basidiomycota","Agaricomycetes","Stereopsidales","Stereopsidaceae","Stereopsis",,"Stereopsis",,"9756029",
,"Aureobasidium","Aureobasidium Viala & Bayer, 1891","9269560","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",,"Aureobasidium","Viala & Bayer, 1891","9269560",
,"Exophiala","Exophiala J.W.Carmich., 1966","2598403","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",,"Exophiala","J.W.Carmich., 1966","2598403",
,"Heliocephala","Heliocephala V.G.Rao et al.","8396151","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Dothideomycetes",,,"Heliocephala",,"Heliocephala","V.G.Rao et al.","8396151",
,"Oidiodendron","Oidiodendron Robak, 1932","2626623","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",,"Oidiodendron","Robak, 1932","2626623",
,"Phyllosticta","Phyllosticta Pers., 1818","2513141","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta",,"Phyllosticta","Pers., 1818","2513141",
,"Venturia","Venturia Sacc., 1882","2560762","EXACT","95","ACCEPTED","GENUS","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia",,"Venturia","Sacc., 1882","2560762",
,"Clavulicium","Clavulicium Boidin","2555412","EXACT","96","ACCEPTED","GENUS","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulicium",,"Clavulicium","Boidin","2555412",
,"Craterocolla","Craterocolla Bref.","2522039","EXACT","95","ACCEPTED","GENUS","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Craterocolla",,"Craterocolla","Bref.","2522039",
,"Tausonia","Tausonia Babeva, 1998","2518164","EXACT","96","ACCEPTED","GENUS","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia",,"Tausonia","Babeva, 1998","2518164",
,"Tremiscus","Tremiscus (Pers.) Lév.","2553730","EXACT","96","ACCEPTED","GENUS","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Exidiaceae","Tremiscus",,"Tremiscus","(Pers.) Lév.","2553730",
,"Gymnosporangium","Gymnosporangium R.Hedw. ex DC., 1805","2516085","EXACT","95","ACCEPTED","GENUS","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Gymnosporangiaceae","Gymnosporangium",,"Gymnosporangium","R.Hedw. ex DC., 1805","2516085",
,"Dothidea","Dothidea Fr., 1818","2514286","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",,"Dothidea","Fr., 1818","2514286",
,"Scleromitrula","Scleromitrula S.Imai","2580393","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Scleromitrula",,"Scleromitrula","S.Imai","2580393",
,"Leohumicola","Leohumicola N.L.Nickerson, S.Hambleton & K.A.Seifert, 2005","2577742","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Helotiales","Calloriaceae","Leohumicola",,"Leohumicola","N.L.Nickerson, S.Hambleton & K.A.Seifert, 2005","2577742",
,"Hesseltinella","Hesseltinella H.P.Upadhyay","2558221","EXACT","96","ACCEPTED","GENUS","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Hesseltinella",,"Hesseltinella","H.P.Upadhyay","2558221",
