"","scientificName"
"1","Archaeorhizomycetales"
"2","Candelariales"
"3","Capnodiales"
"4","Chaetothyriales"
"5","Helotiales"
"6","Hypocreales"
"7","Others (<2%)"
"8","Thelebolales"
"9","Botryosphaeriales"
"10","Dothideales"
"11","Glomerales"
"12","Lecanorales"
"13","Pleosporales"
"14","Venturiales"
"15","Agaricales"
"16","Auriculariales"
"17","Cantharellales"
"18","Cystofilobasidiales"
"19","Polyporales"
"20","Sebacinales"
"21","Xylariales"
"22","Pucciniales"
"23","Saccharomycetales"
"24","Erysiphales"
"25","Endogonales"
"26","Mucorales"
"27","Mortierellales"
