;block;treatment;transect;square;sample;lat;long;depth;slope;exp;rock;litter;soil;grass;total_cover;fire_2022;num_man;fire_total_events;fire_recurrence;fire_freq;fire_TSLF;fire_TBLF;grass_volume;litter_volume;heat_load;richness;shannon;simpson_dom
B1_C_T1_Q1;B1;C;1;Q1;B1_C_Q1;-28.18444303;-49.61299399;15;4;245;0;0.03;0.15;0.87;105;1;2;10;3;0.33;182;1045;0.115275;0.0000075;0.898085725;15;1.619766015;0.285770908
B1_C_T1_Q2;B1;C;1;Q2;B1_C_Q2;-28.18429803;-49.61293104;8.5;8.9;245;0;0.14;0.25;0.655;104.5;1;1;10;3;0.33;182;1045;0.068775;0.0007;0.852770408;16;1.986031941;0.188741915
B1_C_T1_Q3;B1;C;1;Q3;B1_C_Q3;-28.18417598;-49.61286298;45;11.5;240;0;0.1;0.3;0.615;101.5;1;1;10;3;0.33;182;1045;0.0861;0.00065;0.814181601;14;2.120600073;0.146539758
B1_C_T1_Q4;B1;C;1;Q4;B1_C_Q4;-28.18405897;-49.61280699;24;7.2;220;0;0.05;0.5;0.465;101.5;1;0;10;3;0.33;182;1045;0.0639375;0.0001;0.833100191;12;2.100067766;0.161752804
B1_C_T2_Q5;B1;C;2;Q5;B1_C_Q5;-28.18437296;-49.61313799;27;2;260;0.1;0.1;0.05;0.83;108;1;3;10;3;0.33;182;1045;0.118275;0.0002;0.922273582;19;1.877768964;0.240020322
B1_C_T2_Q6;B1;C;2;Q6;B1_C_Q6;-28.184251;-49.61307202;33;15;275;0;0.15;0.1;0.82;107;1;1;10;3;0.33;182;1045;0.1107;0.000675;0.893478288;18;1.943110087;0.232004759
B1_C_T2_Q7;B1;C;2;Q7;B1_C_Q7;-28.18412301;-49.61300396;13;22;280;0.05;0.1;0.5;0.405;105.5;1;0;10;3;0.33;182;1045;0.038475;0.000275;0.875037276;16;1.899066422;0.27480567
B1_C_T2_Q8;B1;C;2;Q8;B1_C_Q8;-28.18402201;-49.61294697;29;20;110;0;0.05;0.25;0.8;110;1;0;10;3;0.33;182;1045;0.11;0.000025;0.718310636;17;2.225833953;0.136015625
B1_C_T3_Q9;B1;C;3;Q9;B1_C_Q9;-28.18432401;-49.61327604;26;5;255;0;0.05;0.03;0.995;107.5;1;1;10;3;0.33;182;1045;0.134325;0.0000875;0.901579366;21;2.42899094;0.121032297
B1_C_T3_Q10;B1;C;3;Q10;B1_C_Q10;-28.18419401;-49.61321502;40;10;275;0;0.04;0.02;0.985;104.5;1;0;10;3;0.33;182;1045;0.1255875;0.0001;0.91506897;18;1.859370624;0.253781339
B1_C_T3_Q11;B1;C;3;Q11;B1_C_Q11;-28.18406903;-49.61314604;15;11.5;270;0.03;0.2;0.07;0.72;102;1;1;10;3;0.33;182;1045;0.0864;0.0009;0.895000263;16;2.231107126;0.165798611
B1_C_T3_Q12;B1;C;3;Q12;B1_C_Q12;-28.18395797;-49.61307596;9;28;270;0.33;0.16;0.13;0.405;102.5;1;0;10;3;0.33;182;1045;0.04455;0.00024;0.770894033;15;2.235894496;0.140374943
B2_C_T1_Q1;B2;C;1;Q1;B2_C_Q1;-28.160334;-49.60022802;14;1.5;340;0;0.37;0.05;0.61;103;1;1;14;2.14;0.5;162;745;0.050325;0.0010175;0.948887045;14;1.984080302;0.185299651
B2_C_T1_Q2;B2;C;1;Q2;B2_C_Q2;-28.16046098;-49.60020597;17;1;280;0;0.05;0.33;0.63;101;1;1;14;2.14;0.5;162;745;0.0756;0.0004375;0.931845208;9;1.835233027;0.179516251
B2_C_T1_Q3;B2;C;1;Q3;B2_C_Q3;-28.16059601;-49.60019097;21.5;2;240;0;0.2;0.2;0.695;109.5;1;0;14;2.14;0.5;162;745;0.100775;0.00005;0.912564165;17;1.982159223;0.197350034
B2_C_T1_Q4;B2;C;1;Q4;B2_C_Q4;-28.16073096;-49.60016398;20;0.5;240;0;0.1;0.25;0.74;109;1;0;14;2.14;0.5;162;745;0.09065;0.000125;0.925967952;14;1.465886006;0.351077429
B2_C_T2_Q5;B2;C;2;Q5;B2_C_Q5;-28.160349;-49.60008997;14;1.5;40;0;0.01;0.05;0.975;103.5;1;2;14;2.14;0.5;162;745;0.12675;0.0000025;0.943148456;17;2.363813249;0.116581197
B2_C_T2_Q6;B2;C;2;Q6;B2_C_Q6;-28.16048898;-49.60007496;18;0;260;0;0;0.2;0.83;103;1;0;14;2.14;0.5;162;745;0.109975;0;0.930286436;16;2.224423319;0.133546233
B2_C_T2_Q7;B2;C;2;Q7;B2_C_Q7;-28.16061898;-49.60005501;8;5;310;0.01;0.03;0.05;1.025;111.5;1;0;14;2.14;0.5;162;745;0.1025;0.0000825;0.968995641;18;2.267196683;0.14379536
B2_C_T2_Q8;B2;C;2;Q8;B2_C_Q8;-28.160751;-49.60002903;15;3;300;0;0.02;0.06;0.965;104.5;1;0;14;2.14;0.5;162;745;0.1133875;0.000625;0.948300514;15;2.177969721;0.136889581
B2_C_T3_Q9;B2;C;3;Q9;B2_C_Q9;-28.16030701;-49.59993297;20;2;20;0;0.05;0;0.975;102.5;1;0;14;2.14;0.5;162;745;0.1584375;0.0000125;0.95333876;16;2.132346352;0.159342538
B2_C_T3_Q10;B2;C;3;Q10;B2_C_Q10;-28.16043802;-49.59991403;15;2;20;0;0.06;0;0.99;105;1;0;14;2.14;0.5;162;745;0.131175;0.00009;0.953337158;16;2.097967318;0.181001939
B2_C_T3_Q11;B2;C;3;Q11;B2_C_Q11;-28.16057397;-49.59989701;14;1;230;0;0.03;0;0.97;100;1;0;14;2.14;0.5;162;745;0.14065;0.000225;0.919329426;11;1.639593496;0.308534382
B2_C_T3_Q12;B2;C;3;Q12;B2_C_Q12;-28.16071202;-49.59987304;22;1;230;0;0.08;0;0.915;99.5;1;0;14;2.14;0.5;162;745;0.1281;0.00004;0.919327768;13;1.810005802;0.224760369
B5_C_T1_Q1;B5;C;1;Q1;B5_C_Q1;-28.16478998;-49.55825304;115;2;335;0;0.08;0.05;0.93;106;0;0;10;3;0.37;1176;3344;0.695175;0.021;0.954068533;16;1.471537559;0.34350792
B5_C_T1_Q2;B5;C;1;Q2;B5_C_Q2;-28.16492099;-49.558203;28;6;335;0;0.1;0.04;0.865;100.5;0;0;10;3;0.37;1176;3344;0.1708375;0.00275;0.998359364;11;1.64929661;0.274750242
B5_C_T1_Q3;B5;C;1;Q3;B5_C_Q3;-28.16504496;-49.55813603;9;23;0;0.15;0;0.06;0.835;104.5;0;0;10;3;0.37;1176;3344;0.212925;0;1.140893806;15;1.644026179;0.32439313
B5_C_T1_Q4;B5;C;1;Q4;B5_C_Q4;-28.16516499;-49.55808699;14;12;340;0;0.1;0.04;0.9;104;0;0;10;3;0.37;1176;3344;0.36225;0.0085;1.05996594;9;1.021187478;0.543148148
B5_C_T2_Q5;B5;C;2;Q5;B5_C_Q5;-28.16475503;-49.55811004;108;2;340;0;0.04;0;1.2;124;0;0;10;3;0.37;1176;3344;1.335;0.018;0.95491126;18;1.429078022;0.425694444
B5_C_T2_Q6;B5;C;2;Q6;B5_C_Q6;-28.16487397;-49.55805003;100;6;340;0;0.05;0.03;0.95;103;0;0;10;3;0.37;1176;3344;0.320625;0.003125;1.001002156;20;2.175483172;0.186315789
B5_C_T2_Q7;B5;C;2;Q7;B5_C_Q7;-28.16498897;-49.55799999;100;3;340;0.05;0.02;0.01;0.97;105;0;0;10;3;0.37;1176;3344;0.181875;0.000325;0.966865177;23;1.892932784;0.249814008
B5_C_T2_Q8;B5;C;2;Q8;B5_C_Q8;-28.16511797;-49.55795104;15;22;260;0.2;0.05;0.05;0.73;103;0;1;10;3;0.37;1176;3344;0.177025;0.0002;0.775428626;19;1.796572631;0.324544943
B5_C_T3_Q9;B5;C;3;Q9;B5_C_Q9;-28.16469502;-49.55796503;99;2;310;0;0.02;0;1.02;104;0;0;10;3;0.37;1176;3344;0.65025;0.0051;0.946755758;12;0.731945313;0.7161188
B5_C_T3_Q10;B5;C;3;Q10;B5_C_Q10;-28.16482301;-49.55791198;35;16;320;0;0.08;0.01;0.945;103.5;0;0;10;3;0.37;1176;3344;0.3661875;0.0084;1.049759277;26;1.460831439;0.48377705
B5_C_T3_Q11;B5;C;3;Q11;B5_C_Q11;-28.16492602;-49.55787501;63;16;340;0.7;0;0;0.43;113;0;0;10;3;0.37;1176;3344;0.16125;0;1.091054905;15;1.835886106;0.266901028
B5_C_T3_Q12;B5;C;3;Q12;B5_C_Q12;-28.16505896;-49.55782296;38;2;260;0;0.09;0;0.97;106;0;1;10;3;0.37;1176;3344;0.419525;0.008775;0.922499969;16;1.339678519;0.466255713
